list_placement,id,title,author_id,author_name,avg_rating,number_of_ratings,list_score,number_of_list_votes
175,40605251,The Mists of Avalon,4841825,Marion Zimmer Bradley,4.11,192076,84996,1009
176,561456,The Titan&#39;s Curse,15872,Rick Riordan,4.35,687554,84575,1018
177,28186,The Sea of Monsters,15872,Rick Riordan,4.24,750091,84193,1013
178,7763,The Joy Luck Club,5246,Amy Tan,3.93,598313,82631,1037
179,13023,Alice in Wonderland,34933,Jane Carruth,4.02,377039,82199,1071
180,1852,The Call of the Wild,1240,Jack London,3.87,341647,81519,1060
181,71728,Jonathan Livingston Seagull,16904,Richard Bach,3.84,202599,81318,993
182,2175,Madame Bovary,1461,Gustave Flaubert,3.68,254228,80572,1009
183,378,The Phantom Tollbooth,214,Norton Juster,4.2,242649,80122,941
184,40940121,Bridge to Terabithia,1949,Katherine Paterson,4.01,445592,79772,1008
185,7938275,The Hunger Games Trilogy Boxset,153394,Suzanne Collins,4.48,188046,79330,936
186,191139,"Oh, the Places You&#39;ll Go!",61105,Dr. Seuss,4.35,328881,79045,1006
187,5060378,The Girl Who Played with Fire,706255,Stieg Larsson,4.24,810028,78765,980
188,6186357,The Maze Runner,348878,James Dashner,4.03,1058019,78704,905
189,18254,Oliver Twist,239579,Charles Dickens,3.87,319612,77725,1055
190,27712,The Neverending Story,15619,Michael Ende,4.16,166271,77699,944
191,338798,Ulysses,5144,James Joyce,3.73,111050,77635,924
192,295,Treasure Island,854076,Robert Louis Stevenson,3.83,402586,77179,1042
193,10818853,Fifty Shades of Grey,4725841,E.L. James,3.66,1949234,75911,857
194,40611463,The Clan of the Cave Bear,861,Jean M. Auel,4.06,229433,75266,925
195,62291,A Storm of Swords,346732,George R.R. Martin,4.53,666731,74078,857
196,2696,The Canterbury Tales,1838,Geoffrey Chaucer,3.5,188788,73812,984
197,10799,A Farewell to Arms,1455,Ernest Hemingway,3.81,263478,72954,936
198,7069,The World According to Garp,3075,John Irving,4.09,204781,72939,904
