id,title,list_placement,author_id,author,pages,date,series,avg_rating,ratings,list_score,list_votes
32929,Goodnight Moon,164,18479,Margaret Wise Brown,32,1947,True,4.28,305883,94057,1168
7784,The Lorax,165,61105,Dr. Seuss,72,1971,False,4.34,283752,92433,1130
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",166,1654,Terry Pratchett,491,1990,False,4.24,544291,92419,1056
5996153,Blood Promise,167,137902,Richelle Mead,503,2009,True,4.32,276564,89997,1026
32261,Tess of the D'Urbervilles,168,15905,Thomas Hardy,518,1891,False,3.8,238426,89231,1093
1078,The Good Earth,169,704,Pearl S. Buck,418,1931,True,3.99,223393,88598,1078
4900,Heart of Darkness,170,3345,Joseph Conrad,188,1899,False,3.43,415294,88520,1093
2120932,The Battle of the Labyrinth,171,15872,Rick Riordan,361,2008,True,4.39,742470,87630,1036
1622,A Midsummer Night's Dream,172,947,William Shakespeare,240,1595,False,3.95,442649,87403,1151
18335634,Clockwork Princess,173,150038,Cassandra Clare,567,2013,True,4.57,338105,87152,975
2547,The Prophet,174,6466154,Kahlil Gibran,127,1923,False,4.22,235304,86813,1046
40605251,The Mists of Avalon,175,4841825,Marion Zimmer Bradley,1009,1982,True,4.11,192076,84996,1009
561456,The Titan's Curse,176,15872,Rick Riordan,320,2007,True,4.35,687554,84575,1018
28186,The Sea of Monsters,177,15872,Rick Riordan,279,2006,True,4.24,750091,84193,1013
7763,The Joy Luck Club,178,5246,Amy Tan,288,1989,False,3.93,598313,82631,1037
13023,Alice in Wonderland,179,34933,Jane Carruth,92,1865,False,4.02,377039,82199,1071
1852,The Call of the Wild,180,1240,Jack London,172,1903,False,3.87,341647,81519,1060
71728,Jonathan Livingston Seagull,181,16904,Richard Bach,112,1970,False,3.84,202599,81318,993
2175,Madame Bovary,182,1461,Gustave Flaubert,329,1857,False,3.68,254228,80572,1009
378,The Phantom Tollbooth,183,214,Norton Juster,256,1961,False,4.2,242649,80122,941
40940121,Bridge to Terabithia,184,1949,Katherine Paterson,190,1977,False,4.01,445592,79772,1008
7938275,The Hunger Games Trilogy Boxset,185,153394,Suzanne Collins,1155,2008,True,4.48,188046,79330,936
191139,"Oh, the Places You'll Go!",186,61105,Dr. Seuss,44,1990,False,4.35,328881,79045,1006
5060378,The Girl Who Played with Fire,187,706255,Stieg Larsson,503,2006,True,4.24,810028,78765,980
6186357,The Maze Runner,188,348878,James Dashner,384,2009,True,4.03,1058019,78704,905
18254,Oliver Twist,189,239579,Charles Dickens,608,1839,False,3.87,319612,77725,1055
27712,The Neverending Story,190,15619,Michael Ende,396,1979,False,4.16,166271,77699,944
338798,Ulysses,191,5144,James Joyce,783,1922,False,3.73,111050,77635,924
295,Treasure Island,192,854076,Robert Louis Stevenson,311,1879,False,3.83,402586,77179,1042
10818853,Fifty Shades of Grey,193,4725841,E.L. James,356,2011,True,3.66,1949234,75911,857
40611463,The Clan of the Cave Bear,194,861,Jean M. Auel,516,1980,True,4.06,229433,75266,925
62291,A Storm of Swords,195,346732,George R.R. Martin,1177,2000,True,4.53,666731,74078,857
2696,The Canterbury Tales,196,1838,Geoffrey Chaucer,521,1400,False,3.5,188788,73812,984
10799,A Farewell to Arms,197,1455,Ernest Hemingway,293,1929,False,3.81,263478,72954,936
7069,The World According to Garp,198,3075,John Irving,610,1978,False,4.09,204781,72939,904
58696,David Copperfield,199,239579,Charles Dickens,882,1850,False,4.0,199261,72681,956
6350972,Tote Mädchen lügen nicht,200,569269,Jay Asher,288,2007,False,3.92,773422,71281,817
37442,Wicked: The Life and Times of the Wicked Witch of the West,201,7025,Gregory Maguire,406,1995,True,3.54,573862,70159,848
402093,Shōgun,202,6417,James Clavell,1152,1975,True,4.39,147020,68575,839
4588,Extremely Loud &amp; Incredibly Close,203,2617,Jonathan Safran Foer,326,2005,False,3.97,380319,68087,780
853510,Murder on the Orient Express,204,123715,Agatha Christie,347,1934,True,4.17,382029,68059,884
18116,His Dark Materials,205,3618,Philip Pullman,1088,2000,True,4.25,143832,67430,787
37470,The Other Boleyn Girl,206,9987,Philippa Gregory,661,2001,True,4.07,455968,67337,826
3008,A Little Princess,207,2041,Frances Hodgson Burnett,242,1905,False,4.2,271903,67318,856
375013,Schindler's List,208,6900,Thomas Keneally,429,1982,False,4.34,144449,67105,884
39999,The Boy in the Striped Pajamas,209,7195,John Boyne,240,2006,False,4.15,519102,66847,829
40604658,Jurassic Park,210,5194,Michael Crichton,466,1990,True,4.04,803362,65924,825
9361589,The Night Circus,211,4370565,Erin Morgenstern,391,2011,False,4.03,686021,65923,747
6487308,Fallen,212,2905297,Lauren Kate,452,2009,True,3.73,494859,65636,760
6527740,Last Sacrifice,213,137902,Richelle Mead,594,2010,True,4.39,255225,65455,768
7332,The Silmarillion,214,656983,J.R.R. Tolkien,386,1977,True,3.93,219727,64365,776
514811,The Secret Magdalene,215,286014,Ki Longfellow,448,2005,False,4.07,4263,63985,657
6149,Beloved,216,3534,Toni Morrison,324,1987,False,3.87,325846,63964,795
10507293,The Selection,217,2987125,Kiera Cass,336,2012,True,4.13,894853,63230,718
17690,The Trial,218,5223,Franz Kafka,255,1925,False,3.96,234981,63048,775
310612,A Confederacy of Dunces,219,3049,John Kennedy Toole,394,1980,False,3.89,231222,63046,727
3876,The Sun Also Rises,220,1455,Ernest Hemingway,189,1926,False,3.82,366143,63039,801
144974,The Velveteen Rabbit,221,83846,Margery Williams Bianco,40,1922,False,4.29,221742,62439,837
6148028,Catching Fire,222,153394,Suzanne Collins,391,2009,True,4.29,2517830,62104,761
7736182,The Lost Hero,223,15872,Rick Riordan,553,2010,True,4.33,625365,61853,748
7896527,Throne of Glass,224,3433047,Sarah J. Maas,406,2012,True,4.2,598201,61521,687
6479259,Spirit Bound,225,137902,Richelle Mead,489,2010,True,4.35,260391,61043,723
10025305,Clockwork Prince,226,150038,Cassandra Clare,498,2011,True,4.44,442602,60677,717
1375,The Iliad/The Odyssey,227,903,Homer,1556,800,False,4.04,62827,59891,793
17250,The Crucible,228,8120,Arthur  Miller,143,1953,False,3.59,323609,59737,795
135479,Cat's Cradle,229,2778055,Kurt Vonnegut Jr.,179,1963,False,4.16,339106,59087,720
9777,The God of Small Things,230,6134,Arundhati Roy,340,1997,False,3.94,244587,58460,689
5659,The Wind in the Willows,231,3843,Kenneth Grahame,197,1908,False,3.98,179675,57971,775
8130077,The Screwtape Letters,232,1069006,C.S. Lewis,228,1942,False,4.22,332455,57848,713
2865,Girl with a Pearl Earring,233,1973,Tracy Chevalier,233,1999,False,3.89,627405,57743,752
561909,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,234,102203,Corrie ten Boom,242,1971,False,4.42,257726,57543,687
30118,A Light in the Attic,235,435477,Shel Silverstein,176,1981,False,4.34,374525,57026,757
6068551,Shiver,236,1330292,Maggie Stiefvater,392,2009,True,3.77,431481,56736,659
23807,The Silence of the Lambs,237,12455,Thomas  Harris,421,1988,True,4.2,464094,56705,734
24770,Uglies,238,13957,Scott Westerfeld,425,2005,True,3.86,560674,56436,671
6752378,City of Fallen Angels,239,150038,Cassandra Clare,425,2011,True,4.12,481797,56434,703
4069,Man's Search for Meaning,240,2782,Viktor E. Frankl,165,1946,False,4.36,402245,56368,658
5203,She's Come Undone,241,3505,Wally Lamb,465,1992,False,3.88,316409,55867,676
480204,The Phantom of the Opera,242,9057,Gaston Leroux,360,1909,False,3.96,199083,54690,705
12691,Marley and Me: Life and Love With the World's Worst Dog,243,8002,John Grogan,291,2005,False,4.13,440905,54671,686
24337,Ella Enchanted,244,13677,Gail Carson Levine,232,1997,True,3.98,387214,54609,680
11275,The Wind-Up Bird Chronicle,245,3354,Haruki Murakami,607,1994,True,4.16,218529,54379,610
36381037,Cinder,246,4684322,Marissa Meyer,400,2012,True,4.14,683804,53846,622
11566,The Green Mile,247,3389,Stephen King,592,1996,True,4.45,249107,53135,683
10572,A Clash of Kings,248,346732,George R.R. Martin,969,1998,True,4.41,789077,53045,653
40495148,Blindness,249,1285555,José Saramago,349,1995,True,4.13,201055,52960,612
10975,The Sound and the Fury,250,3535,William Faulkner,366,1929,False,3.86,158522,52790,661
40874325,The Shack,251,15481463,William Paul Young,294,2007,False,3.78,539083,52267,622
30183,Marked,252,17015,P.C. Cast,306,2007,True,3.8,430645,51987,613
39832183,The Guernsey Literary and Potato Peel Pie Society,253,1194527,Mary Ann Shaffer,291,2008,False,4.17,611438,51311,627
7745,Fear and Loathing in Las Vegas,254,5237,Hunter S. Thompson,204,1971,False,4.08,299185,51295,620
46170,For Whom the Bell Tolls,255,1455,Ernest Hemingway,471,1940,False,3.97,249294,51234,699
9328,The House of the Spirits,256,2238,Isabel Allende,448,1982,True,4.24,190213,50916,640
24812,The Complete Calvin and Hobbes,257,13778,Bill Watterson,1456,2005,True,4.82,34921,50709,632
546018,Roots: The Saga of an American Family,258,17434,Alex Haley,729,1976,False,4.43,146347,50100,658
10614,Misery,259,3389,Stephen King,370,1987,False,4.17,499413,50005,652
6294,Howl's Moving Castle,260,4260,Diana Wynne Jones,329,1986,True,4.26,216421,49956,597
350,Stranger in a Strange Land,261,205,Robert A. Heinlein,525,1961,False,3.92,275653,49644,618
41044096,Island of the Blue Dolphins,262,4999,Scott O&#39;Dell,194,1960,True,3.84,291998,49491,638
4502877,Midnight Sun [2008 Draft],263,941441,Stephenie Meyer,264,2008,False,4.02,146436,48719,572
29044,The Secret History,264,8719,Donna Tartt,559,1992,False,4.09,316487,48530,560
6892870,The Girl Who Kicked the Hornet's Nest,265,706255,Stieg Larsson,566,2007,True,4.22,646216,48400,621
32234,White Oleander,266,3540,Janet Fitch,446,1999,False,3.97,321857,48197,600
48855,The Diary of a Young Girl,267,3720,Anne Frank,283,1947,False,4.15,2745447,48172,622
11614718,Delirium,268,2936493,Lauren Oliver,441,2011,True,3.97,417041,47759,548
11505797,Beautiful Disaster,269,4464118,Jamie McGuire,319,2011,True,4.09,547397,47680,537
12996,Othello,270,947,William Shakespeare,314,1603,False,3.9,315470,47570,684
6801755,Flow Down Like Silver: Hypatia of Alexandria,271,286014,Ki Longfellow,301,2009,False,4.39,2393,47531,491
6442769,Paper Towns,272,1406384,John Green,305,2008,False,3.8,920796,47461,558
43814,The Vampire Lestat,273,7577,Anne Rice,481,1985,True,4.07,176924,47171,604
39280444,Speak,274,10003,Laurie Halse Anderson,224,1999,False,4.02,485100,47165,581
12505,The Idiot,275,3137322,Fyodor Dostoyevsky,667,1869,False,4.18,132809,47126,601
12938,King Lear,276,947,William Shakespeare,338,1605,False,3.91,180903,46840,643
43545,The Once and Future King,277,426944,T.H. White,639,1958,True,4.05,100535,46527,578
227711,I Know This Much Is True,278,3505,Wally Lamb,897,1998,False,4.19,289660,46411,554
14497,Neverwhere,279,1221698,Neil Gaiman,370,1996,True,4.17,430304,46183,566
1845,Into the Wild,280,1235,Jon Krakauer,207,1996,False,3.99,879984,46018,583
28194,Inkheart,281,15873,Cornelia Funke,563,2003,True,3.88,369996,45825,580
46787,Uncle Tom's Cabin,282,26242,Harriet Beecher Stowe,438,1851,False,3.87,198064,45654,636
28881,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",283,16218,Christopher Moore,444,2002,False,4.24,151259,45600,510
30236962,The Historian,284,5918,Elizabeth Kostova,704,2005,False,3.79,242772,44785,542
188572,The Complete Sherlock Holmes,285,2448,Arthur Conan Doyle,1796,1927,True,4.48,174568,44539,580
19380,Candide,286,5754446,Voltaire,129,1759,False,3.77,219772,44189,582
6689,James and the Giant Peach,287,4273,Roald Dahl,146,1961,False,4.02,379257,44080,619
16981,Invisible Man,288,7508,Ralph Ellison,581,1952,False,3.88,156858,43994,556
19288043,Gone Girl,289,2383,Gillian Flynn,415,2012,False,4.08,2332368,43808,534
2184798,Blood River: A Journey to Africa's Broken Heart,290,534082,Tim Butcher,363,2007,False,4.06,7612,43724,441
32085,All Creatures Great and Small,291,18062,James Herriot,437,1972,True,4.32,114739,43633,579
